,letter BIC,spam BIC
2,691387.7574854895,193915.7301620942
3,661906.068978531,100256.38484114327
4,627490.2215311463,-148266.0604986185
5,606456.4226238823,-142728.25109789212
6,592062.5595908251,-269992.311795238
7,528901.4258349922,-376038.15049999283
8,515930.1102835964,-387308.3572349382
9,500907.00314952777,-453752.763647199
10,517992.225354016,-509858.54098887125
11,428324.35451549425,-512304.34117628593
12,420595.3014842098,-519054.6382624705
13,418184.23266507173,-469998.19906015176
14,409892.20461630396,-467019.8935251932
16,400356.5058372867,-480912.696584888
18,391412.93166780606,-585768.2554617357
20,370983.8869343564,-559073.1347789426
25,342001.9921530404,-603232.0888838365
30,351415.4700745012,-548552.3689802266
