,letter,spam SSE
2,263293.23551213415,242529.0659380962
3,236713.17865151263,231566.85925812164
4,220556.84746475983,224009.39813047292
5,206888.0122953469,219456.49310807814
6,197113.55257393932,213887.0907932768
7,188463.78106764596,209340.40775321054
8,181364.86550110148,205428.8643373233
9,173702.28788249797,201113.80934862472
10,167634.57889132577,198149.06384164377
11,161512.42869614155,194459.59101196326
12,156460.89521509112,190182.97611567564
13,152455.99728435365,186164.44061968583
14,148805.43889476155,182187.06910796947
16,142979.70798060263,176816.29215034324
18,137628.0828863025,171320.51110843298
20,133073.05512322736,165846.54360756627
25,122885.52900464622,152411.51009731792
30,115009.74190259867,140931.67306058077
