,letter BIC,spam BIC
2,488114.94905835914,45023.62435670202
3,470543.2643507582,36886.91492062807
4,454794.2560016435,37287.109779666345
5,445889.19961160165,34013.90418586985
6,429076.2391965343,32375.52731735351
7,421342.99531501724,29954.482428575157
8,412224.3441467643,29644.922955750135
9,408948.07537587173,23084.050452004787
10,400028.24854138825,22066.35826831498
11,390175.9487165455,21602.66010810044
12,388820.4926606831,21496.603236220377
13,390082.4925637695,21344.657782160233
14,379751.45973614923,20751.493886073884
16,378492.8672087697,19820.447414668233
18,372235.3637672863,19414.769548404678
20,360134.74980118516,19644.672923404334
25,354467.49580200633,19250.386112684377
30,346168.4568137545,19351.79606254369
