,letter BIC,spam BIC
2,383408.22790561663,12661.834031148795
3,368959.5934160206,10713.63657014143
4,363227.15643650794,9490.897379139853
5,354242.5859632981,8905.3169061808
6,352034.0694237248,8722.955117616186
7,346100.6781935424,8519.275128634281
8,338138.6619188709,8442.374101077008
9,335266.718047499,8216.725712950094
10,328148.139560158,8123.065936275783
11,322208.9991797987,8158.452649561896
12,325893.5733646545,8219.403130591165
13,319961.1758525668,8226.486230788209
14,313664.36238956166,7158.209588190079
16,305815.8790187048,8165.542074697883
18,311254.42684070114,7064.60802669485
20,301064.28419546766,8248.05902368598
25,296597.040764439,7376.843446972823
30,292330.94837955525,7220.405543336639
