,letter BIC,spam BIC
2,539923.4805645718,-11317.159062604833
3,520565.00159574655,-48295.12413204945
4,495484.9518718924,-56895.788987360305
5,449134.61397944466,-67854.40197086064
6,443488.93150248216,-73872.3661846079
7,432227.4613484969,-79488.26758897355
8,398240.1751741195,-77269.18171088415
9,388980.2735651277,-100814.65564483771
10,381803.41342438397,-113256.20301981876
11,343107.65542291,-112933.06676210563
12,337166.7854100719,-113334.75304641973
13,332918.0158493599,-126221.98391541303
14,317526.2931584954,-109308.42388849321
16,301121.3833882322,-127672.54046186592
18,274012.25636236515,-130276.2197256999
20,285913.4238559774,-105839.42435638342
25,268556.7618596186,-130327.83941155611
30,218908.335082401,-136288.58607946098
