,letter BIC,spam BIC
2,479280.3671427585,139367.9598022816
3,459991.3080827283,103830.5278526101
4,445077.15161143005,99681.70587218339
5,431925.47174144635,81402.10450522149
6,422112.7512581644,91865.27520119694
7,414789.7901420823,98421.77766766958
8,406215.20446760743,101757.46924882529
9,396420.3712277015,96933.19920125928
10,394227.1485463724,63674.011029496665
11,374644.4167592397,71852.92596218981
12,373350.0127718446,55793.50859187107
13,365297.67272365757,60627.44159277558
14,360653.0957980938,61864.30706616477
16,356606.295720435,42057.899714968065
18,359306.6616825647,37941.176201403956
20,349995.7897135195,26359.196515576492
25,345181.36486063467,13306.039428095064
30,331702.53134111397,21229.91978183348
