,letter,spam SSE
2,125334.42964000425,6168.084895148428
3,111945.07306758162,3194.2241887977107
4,101687.38400328114,2285.7427243067823
5,92930.7930452009,1552.6070657685214
6,86523.0908544228,1268.1665741835477
7,80791.54951718278,1016.452668901496
8,76067.9080084076,842.7479485398195
9,71483.10624381478,720.6490202433853
10,68353.56443181093,629.2891911056964
11,64932.53296278235,556.6796200543715
12,61993.36699605065,492.98506761400336
13,59751.77503743265,438.3412809112515
14,57768.30610166277,403.5896319815914
16,54064.489709070665,345.5061379586653
18,51349.038284093374,297.4214855917862
20,49122.56439234092,262.47448469354885
25,44629.27143778311,192.2611019881639
30,41107.37779617619,151.662643572864
