,letter,spam SSE
2,183612.31066570693,40396.37404669184
3,163928.02191920576,35597.04916736706
4,151343.12877426355,32709.20825350876
5,141669.14205059112,30007.04528210638
6,133425.5208714279,27353.10738373967
7,124722.18348770408,25310.835931871443
8,116585.44278002635,23274.22097254114
9,110456.21513650488,21416.649345593036
10,106017.18043306001,19778.341668952544
11,101935.0943666649,17946.03703123068
12,97862.87342652297,16969.233790541584
13,94358.38843039921,16062.727272796172
14,90327.63700802135,15150.760228388188
16,84412.19526707509,13347.614181179704
18,79845.01118820817,12023.442769665875
20,76352.2266583071,11059.530070695213
25,68825.51288384589,8957.257211552143
30,63307.411105212734,7752.1592774902765
