,letter,spam SSE
2,182411.68390918322,63299.28418061139
3,159038.13274811464,57985.50411623526
4,145025.60298020125,55283.44400888076
5,135105.39618455118,52648.36369897533
6,126814.11968208289,50699.16884093129
7,121024.90886722846,48901.34150906655
8,115904.80903132769,46895.900233251334
9,111731.52406495578,45614.04010942411
10,107794.65802578459,43895.58125384533
11,104415.78357503688,41955.66792680354
12,101218.78786655975,40623.534400389326
13,98393.33181595679,39451.97094569824
14,95962.57372573164,38233.58594465055
16,91390.18179149656,36637.7969402172
18,87384.52756249375,34450.565791343004
20,83794.33010239404,32891.81040190993
25,76574.05985474013,29410.330674966244
30,71092.92539272283,26676.071811831964
