param_clf__n_components,PCA,ICA,RP,RF
2,0.863504933,0.66312916,0.727021196,0.819596847
5,0.879151442,0.869592834,0.764829816,0.883282821
10,0.89219138,0.897193504,0.793302412,0.902189256
15,0.900451069,0.897627107,0.894803616,0.917407119
20,0.912626871,0.903277864,0.901322051,0.919362933
25,0.909800076,0.898060945,0.879586697,0.925231318
30,0.91153661,0.896973753,0.903061889,0.926101591
35,0.910235802,0.908930038,0.908932163,0.921754473
40,0.913711703,0.91631969,0.913713119,0.924581268
45,0.90566728,0.916319454,0.912843554,0.922405231
50,0.901104659,0.915234386,0.91566728,0.911974461
55,0.922188311,0.913928622,0.913710995,0.923927206
57,0.921318274,0.918060001,0.905669877,0.923492423
