,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7293263912200928,0.492389749337396,0.06712026596069336,0.0020321593982781266,"(10, 10)",0.01,2,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 2}",0.8545059717698155,0.8489130434782609,0.8402173913043478,0.8717391304347826,0.6826086956521739,0.8195968465278762,0.0692645140703986,13
1,0.5150506496429443,0.06739283395405772,0.06523160934448242,0.003998715091499145,"(10, 10)",0.01,5,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 5}",0.8990228013029316,0.9032608695652173,0.9173913043478261,0.9010869565217391,0.7956521739130434,0.8832828211301514,0.04428628589361489,12
2,0.5303054809570312,0.050442739968163806,0.0659515380859375,0.005253607202171649,"(10, 10)",0.01,10,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 10}",0.9294245385450597,0.9184782608695652,0.9391304347826087,0.9326086956521739,0.7913043478260869,0.902189255535099,0.055843617637628004,11
3,0.516770315170288,0.024862678447327667,0.06736874580383301,0.008178049948378735,"(10, 10)",0.01,15,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 15}",0.9272529858849077,0.9315217391304348,0.9489130434782609,0.9423913043478261,0.8369565217391305,0.917407118916112,0.040951910799123484,9
4,0.4773260116577148,0.024627570319545045,0.06460661888122558,0.002872253621545855,"(10, 10)",0.01,20,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 20}",0.9305103148751357,0.9434782608695652,0.9445652173913044,0.9543478260869566,0.8239130434782609,0.9193629325402446,0.04832306375528129,8
5,0.5190259933471679,0.08556137881327362,0.06273379325866699,0.0017506240567367846,"(10, 10)",0.01,25,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 25}",0.9359391965255157,0.9445652173913044,0.9347826086956522,0.9434782608695652,0.8673913043478261,0.9252313175659728,0.02918254130644545,2
6,0.4832509994506836,0.031208544284823468,0.06466217041015625,0.0036719178848505915,"(10, 10)",0.01,30,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 30}",0.9326818675352877,0.9489130434782609,0.9445652173913044,0.9554347826086956,0.8489130434782609,0.9261015908983617,0.03930159259224672,1
7,0.48324055671691896,0.02806842739636559,0.06187992095947266,0.001985270964294516,"(10, 10)",0.01,35,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 35}",0.9294245385450597,0.9478260869565217,0.9380434782608695,0.9434782608695652,0.85,0.9217544729264032,0.036399225285881145,7
8,0.5190475463867188,0.048860328718824536,0.0671271800994873,0.0036292559191092835,"(10, 10)",0.01,40,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 40}",0.9261672095548317,0.9391304347826087,0.9402173913043478,0.9445652173913044,0.8728260869565218,0.9245812679979227,0.026595634283805677,3
9,0.5577867984771728,0.050315690063041874,0.0671006202697754,0.00647444388687917,"(10, 10)",0.01,45,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 45}",0.9359391965255157,0.9358695652173913,0.9467391304347826,0.9554347826086956,0.8380434782608696,0.922405230609451,0.042812268767621384,6
10,0.5675792217254638,0.07840548266527143,0.07248401641845703,0.008214462231770669,"(10, 10)",0.01,50,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 50}",0.9174809989142236,0.9423913043478261,0.9434782608695652,0.9445652173913044,0.8119565217391305,0.9119744606524101,0.0510171369275402,10
11,0.5391375064849854,0.07346597072975615,0.06911668777465821,0.010448265722010798,"(10, 10)",0.01,55,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 55}",0.9348534201954397,0.9456521739130435,0.9445652173913044,0.9467391304347826,0.8478260869565217,0.9239272057782184,0.03828589327087169,4
12,0.5894851684570312,0.06366410126682849,0.07023935317993164,0.009560025802153458,"(10, 10)",0.01,57,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'filter__n': 57}",0.9348534201954397,0.9347826086956522,0.9423913043478261,0.9576086956521739,0.8478260869565217,0.9234924231695227,0.03873763734777421,5
