,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustGMM__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.1459935188293457,0.6398530165682411,0.03126745223999024,0.007350295077063415,"(10, 10)",0.01,2,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 2}",0.68975,0.703,0.7225,0.6935,0.68425,0.6986,0.013422555643393704,2
1,2.6015164852142334,0.7125885090171946,0.07333369255065918,0.010154642647352614,"(10, 10)",0.01,3,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 3}",0.75675,0.75925,0.75775,0.5615,0.72675,0.7124,0.07641361135295205,1
2,2.2530354022979737,0.8745879251298512,0.08148193359375,0.026896037275107292,"(10, 10)",0.01,4,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 4}",0.72975,0.75975,0.6425,0.53325,0.50725,0.6345000000000001,0.10126030811724801,16
3,1.7514993667602539,0.8848501971178145,0.10768547058105468,0.02945295917477581,"(10, 10)",0.01,5,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 5}",0.701,0.6495,0.6725,0.52675,0.69025,0.6479999999999999,0.06308426903753421,12
4,2.157609748840332,0.646885778393936,0.10464310646057129,0.025018950551378084,"(10, 10)",0.01,6,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 6}",0.61975,0.68875,0.633,0.70225,0.527,0.63415,0.06214269868616907,18
5,1.6466337203979493,0.4748872254683352,0.11645169258117676,0.04592277989194843,"(10, 10)",0.01,7,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 7}",0.667,0.638,0.6175,0.64275,0.633,0.63965,0.016094719630984567,13
6,1.9284327030181885,0.4258147436871927,0.14185681343078613,0.04558610076159843,"(10, 10)",0.01,8,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 8}",0.709,0.66575,0.66025,0.62175,0.615,0.65435,0.03394871131574804,10
7,2.599572515487671,0.7591876266536461,0.16666116714477539,0.03592907310415213,"(10, 10)",0.01,9,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 9}",0.72175,0.683,0.63425,0.6635,0.591,0.6587,0.0442039025426489,9
8,2.546853017807007,0.9366277134614664,0.1980452060699463,0.06383259463639897,"(10, 10)",0.01,10,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 10}",0.6605,0.66825,0.61675,0.61,0.61575,0.63425,0.024825893740206006,17
9,2.436891269683838,0.5921926516783932,0.1478787899017334,0.019258722009981574,"(10, 10)",0.01,11,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustGMM__n_clusters': 11}",0.6875,0.66925,0.695,0.65425,0.64125,0.6694499999999999,0.02002460985887115,6
