,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustKM__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.6150360107421875,1.0995126725097288,0.10371294021606445,0.00931423735256067,"(10, 10)",0.01,2,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 2}",0.69675,0.6645,0.68225,0.659,0.68525,0.6775499999999999,0.013888304432147211,12
1,2.056108903884888,0.770436766132608,0.14336204528808594,0.021996268590713353,"(10, 10)",0.01,3,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 3}",0.713,0.71125,0.61975,0.657,0.57875,0.65595,0.05212326735729448,15
2,2.3713600635528564,0.8124146975468266,0.16612305641174316,0.01760681215463574,"(10, 10)",0.01,4,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 4}",0.71125,0.68075,0.74275,0.6475,0.6815,0.69275,0.0321259241112221,6
3,2.374053716659546,1.0074035327857915,0.16757121086120605,0.006461597663499576,"(10, 10)",0.01,5,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 5}",0.74175,0.4935,0.67625,0.71725,0.63875,0.6535,0.08739250539949063,16
4,2.4011588096618652,1.0582129576502368,0.22242140769958496,0.031151612857059405,"(10, 10)",0.01,6,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 6}",0.684,0.67275,0.65525,0.731,0.71075,0.69075,0.02701804952249514,8
5,1.7349841594696045,0.26695527319621304,0.20265393257141112,0.020675822147381673,"(10, 10)",0.01,7,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 7}",0.63275,0.65075,0.67325,0.606,0.67,0.64655,0.02496066906154562,18
6,3.0791459560394285,0.8408614200585565,0.22183809280395508,0.014525326082286943,"(10, 10)",0.01,8,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 8}",0.67675,0.7785,0.77375,0.7145,0.6975,0.7282,0.040944291421393546,1
7,2.1471117973327636,0.8775286309538147,0.255462121963501,0.020281216979555802,"(10, 10)",0.01,9,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 9}",0.683,0.65475,0.6565,0.7785,0.70975,0.6965000000000001,0.04566152647470295,3
8,2.3036407947540285,0.6749115407653582,0.2601612091064453,0.019588328964707614,"(10, 10)",0.01,10,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 10}",0.73325,0.714,0.69225,0.66275,0.6695,0.69435,0.026532338758579122,5
9,2.1194591522216797,0.4636865287002835,0.2680530071258545,0.0256140295968496,"(10, 10)",0.01,11,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 11}",0.71625,0.734,0.63875,0.678,0.64125,0.68165,0.03853199968857054,10
10,2.3901154041290282,0.3790576459256182,0.27069454193115233,0.019479547280403027,"(10, 10)",0.01,12,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 12}",0.69775,0.68525,0.666,0.69775,0.68325,0.686,0.011698290473398218,9
11,2.4513782024383546,0.42628163569189964,0.3009509563446045,0.035215270032065905,"(10, 10)",0.01,13,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 13}",0.7435,0.69125,0.65925,0.6775,0.70275,0.6948500000000001,0.028321634839818147,4
12,2.8213686466217043,0.6650391741038449,0.3026859760284424,0.015558470618624943,"(10, 10)",0.01,14,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 14}",0.70175,0.69975,0.7045,0.711,0.6685,0.6970999999999999,0.014795776424371923,2
13,2.7427878379821777,0.37186252360901395,0.3146198749542236,0.01721443496717542,"(10, 10)",0.01,16,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 16}",0.668,0.69925,0.674,0.53525,0.67,0.6493,0.058121725714228425,17
14,2.68274245262146,0.18975604080285452,0.3684070587158203,0.030596136690020738,"(10, 10)",0.01,18,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 18}",0.66475,0.631,0.68975,0.66225,0.67275,0.6641,0.019142622599842465,13
15,2.646380090713501,0.40542523459646257,0.3569334030151367,0.03957051067888666,"(10, 10)",0.01,20,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 20}",0.6955,0.64375,0.666,0.66225,0.65225,0.66395,0.017592185765276575,14
16,3.3564762592315676,0.6976663628496932,0.4598806381225586,0.0297624680837038,"(10, 10)",0.01,25,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 25}",0.67675,0.651,0.67275,0.68825,0.70825,0.6794,0.01880664776083182,11
17,3.6893656253814697,0.6030083298062299,0.5252488136291504,0.028311124907632865,"(10, 10)",0.01,30,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 30}",0.69825,0.68475,0.69275,0.7185,0.66575,0.6920000000000001,0.01722498185775535,7
