,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustKM__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.7947085857391358,0.5929229360224673,0.060849666595458984,0.008645784538966484,"(10, 10)",0.01,2,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 2}",0.89425,0.845,0.883,0.7955,0.815,0.84655,0.03796788116289874,4
1,1.7059224605560304,0.16697759928626013,0.11043901443481445,0.008430937337443318,"(10, 10)",0.01,3,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 3}",0.86275,0.9,0.88525,0.85175,0.83825,0.8676,0.022349272918822202,1
2,1.5493627071380616,0.5249260541404521,0.11489377021789551,0.017370031543480026,"(10, 10)",0.01,4,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 4}",0.88075,0.8685,0.8735,0.8705,0.84125,0.8669,0.013482025070441009,2
3,1.7340151786804199,0.3341857426674659,0.13943877220153808,0.0040962657306209405,"(10, 10)",0.01,5,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 5}",0.855,0.87475,0.84925,0.8645,0.8295,0.8546000000000001,0.015250081966992846,3
4,1.7926577568054198,0.26883485205192903,0.1651292324066162,0.016438990914094245,"(10, 10)",0.01,6,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 6}",0.8285,0.82075,0.86875,0.8465,0.83375,0.83965,0.016793302236308393,8
5,1.7826366901397706,0.41245713584785965,0.19512176513671875,0.02023064451765118,"(10, 10)",0.01,7,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 7}",0.85725,0.8675,0.79675,0.832,0.8765,0.8459999999999999,0.028777161083053355,5
6,1.9450457096099854,0.5187978230144953,0.2040797233581543,0.02918799270550356,"(10, 10)",0.01,8,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 8}",0.85525,0.825,0.84825,0.8055,0.862,0.8392,0.020960319654051075,9
7,1.928324556350708,0.346199800943004,0.20260777473449706,0.020769457198740286,"(10, 10)",0.01,9,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 9}",0.81075,0.824,0.8235,0.8395,0.8325,0.8260500000000001,0.009667471230885582,13
8,1.8553595542907715,0.5554456271008379,0.21808900833129882,0.02092254998623163,"(10, 10)",0.01,10,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 10}",0.8315,0.85725,0.76375,0.86,0.817,0.8259000000000001,0.03498235269389408,14
9,1.9913249969482423,0.500816669345983,0.20958538055419923,0.012484025221482658,"(10, 10)",0.01,11,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 11}",0.84925,0.79075,0.843,0.8805,0.8315,0.8389999999999999,0.02907791257982594,10
