,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustKM__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.244004774093628,0.2917835240342844,0.07298545837402344,0.006314529107641892,"(10, 10)",0.01,2,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 2}",0.87075,0.86925,0.85625,0.8805,0.8575,0.86685,0.00902302609992899,1
1,1.5053215980529786,0.28584852709658176,0.12663798332214354,0.019858086129252422,"(10, 10)",0.01,3,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 3}",0.8565,0.876,0.8475,0.88375,0.866,0.86595,0.0130196006083136,3
2,1.9494328498840332,0.32781727108266234,0.15008273124694824,0.012709574459425148,"(10, 10)",0.01,4,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 4}",0.8625,0.8775,0.8425,0.879,0.86275,0.86485,0.01318863146804851,5
3,1.7812620162963868,0.25414433968800537,0.1711294174194336,0.012764001515560851,"(10, 10)",0.01,5,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 5}",0.858,0.8615,0.85275,0.8695,0.8585,0.86005,0.005500909015790043,8
4,2.189680814743042,0.30800425677391613,0.22617263793945314,0.012647017170005591,"(10, 10)",0.01,6,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 6}",0.875,0.86775,0.857,0.8715,0.8565,0.86555,0.007543871685016922,4
5,2.2356714248657226,0.8325881322862072,0.22941713333129882,0.022089988065734895,"(10, 10)",0.01,7,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 7}",0.8895,0.866,0.8555,0.869,0.85225,0.86645,0.013111445381802866,2
6,2.2571437835693358,0.4419462741227946,0.24262428283691406,0.010171856686554404,"(10, 10)",0.01,8,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 8}",0.865,0.85425,0.86925,0.86475,0.86825,0.8642999999999998,0.005325410782277745,6
7,2.091450881958008,0.18371071119402121,0.2883561134338379,0.026039480511528264,"(10, 10)",0.01,9,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 9}",0.86525,0.8555,0.86225,0.873,0.85125,0.8614500000000002,0.0075884781082902275,7
8,2.3656668663024902,0.28712399564602625,0.2827309608459473,0.023325592313733583,"(10, 10)",0.01,10,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 10}",0.87625,0.861,0.852,0.83725,0.85875,0.8570499999999999,0.01268601592305478,9
9,2.50344500541687,0.1717998000966426,0.31521005630493165,0.03312684547723755,"(10, 10)",0.01,11,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 11}",0.8635,0.84,0.822,0.865,0.8455,0.8472000000000002,0.01595180240599791,12
10,2.403900384902954,0.3432490424617314,0.33727478981018066,0.023037039751315477,"(10, 10)",0.01,12,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 12}",0.8645,0.85625,0.8345,0.83625,0.838,0.8459,0.012153805988249113,13
11,2.7339056491851808,0.5626683156584669,0.3746912479400635,0.038798684248928114,"(10, 10)",0.01,13,"{'NN__hidden_layer_sizes': (10, 10), 'NN__learning_rate_init': 0.01, 'addClustKM__n_clusters': 13}",0.835,0.869,0.85225,0.8225,0.81325,0.8384,0.020124984472043684,16
